N	m0	m1	s1
83	11299.3201964432	212771206.00579098	9360.918129689335
84	11571.67154755926	223844612.89796016	9608.346841258313
85	11847.265177190397	235349163.4350044	9859.164133033897
86	12126.10108530572	247296097.51511064	10113.373385305154
87	12408.179271918152	259696811.40219194	10370.978042221965
88	12693.499736983089	272562846.14123666	10631.981384107163
89	12982.06248051806	285905897.28469604	10896.386739568848
90	13273.8675024861	299737811.5401547	11164.197293309779
91	13568.914802900497	314070587.03834534	11435.416265558555
92	13867.204381735528	328916370.1634981	11710.046749564817
93	14168.736238987663	344287463.6017811	11988.09186370847
94	14473.510374649832	360196316.7341505	12269.554613735792
95	14781.526788695868	376655534.94307435	12554.438022105891
96	15092.785481138737	393677870.5976826	12842.745010897923
97	15407.286451976915	411276236.0218712	13134.478512019175
98	15725.02970117102	429463683.99909943	13429.641367510863
99	16046.015228738916	448253430.8905559	13728.236423665105
100	16370.243034667516	467658835.49822783	14030.266445939149
101	16697.713118974672	487693416.9007317	14335.734199557843
102	17028.425481592418	508370838.81964284	14644.642376664868
103	17362.380122573937	529704929.9139086	14956.993665575195
104	17699.577041876866	551709657.9774858	15272.790688249486
105	18040.016239517223	574399143.5381231	15592.03605994331
106	18383.69771547861	597787672.1719464	15914.732335396944
107	18730.621469787337	621889671.001909	16240.882060338052
108	19080.787502390023	646719728.7220391	16570.487725096336
109	19434.19581328846	672292580.9980472	16903.551809238026
110	19790.846402507454	698623112.9329324	17240.07674126192
111	20150.739270039474	725726373.0897918	17580.06493763846
112	20513.87441587113	753617554.0427287	17923.518767632722
113	20880.25183998683	782312011.27129	18270.440587417448
114	21249.871542397927	811825244.9415725	18620.832709409828
115	21622.733523099094	842172909.4203424	18974.697432190802
116	21998.837782075538	873370818.7059333	19332.03701356422
117	22378.184319337648	905434931.5401818	19692.85369702424
118	22760.77313486923	938381379.0538166	20057.149687924593
119	23146.604228654305	972226418.0378244	20424.927176972542
120	23535.67760072655	1006986463.6990297	20796.18831912448
121	23927.993251062784	1042678125.3850973	21170.935254502212
122	24323.551179632545	1079318112.8395202	21549.17008959723
123	24722.351386502487	1116923327.4484806	21930.89491597287
124	25124.393871618206	1155510812.3676062	22316.111793551674
125	25529.678634970318	1195097745.1684253	22704.82276723789
126	25938.205676547434	1235701482.8692763	23097.029852048247
127	26349.97499637259	1277339549.6296148	23492.735048228213
128	26764.986594462236	1320029562.9654307	23891.94032740427
129	27183.240470781107	1363789375.536874	24294.64764691859
130	27604.736625306596	1408636898.4361672	24700.858936623627
131	28029.47505811058	1454590367.5984054	25110.57611245808
132	28457.455769129283	1501667943.4799426	25523.801064233307
133	28888.678758353748	1549888129.9286106	25940.535667834996
134	29323.144025738984	1599269495.3884041	26360.781774404437
135	29760.851571422125	1649830702.5735204	26784.541221324944
136	30201.801395290113	1701590727.146286	27211.81582240254
137	30645.993497407533	1754568678.9814436	27642.60737802331
138	31093.427877656235	1808783594.9832635	28076.917665816556
139	31544.104536139414	1864254998.4398797	28514.748450474148
140	31998.023472804096	1921002300.234462	28956.10147462824
141	32455.184687641802	1979045256.6507564	29400.97846864582
142	32915.588180750514	2038403680.5067234	29849.381141335994
143	33379.2339520573	2099097383.159701	30301.31118980933
144	33846.12200144921	2161146782.8406925	30756.77029023259
145	34316.25232903696	2224571988.9734735	31215.760107467475
146	34789.624934905674	2289393423.415976	31678.28228636495
147	35266.239818816546	2355631824.108488	32144.338460469833
148	35746.09698096177	2423307881.4702954	32613.93024406776
149	36229.19642126686	2492442542.0164204	33087.05924079584
150	36715.53813980957	2563056874.7696633	33563.72703534874
151	37205.12213647682	2635171940.8392954	34043.93520218306
152	37697.948411278376	2708809410.128196	34527.68529739588
153	38194.01696423436	2783990506.7016916	35014.978867136815
154	38693.3277953516	2860737212.7822814	35505.81744008782
155	39195.88090463995	2939071246.3369036	36000.20253468784
156	39701.676292168624	3019014679.8464746	36498.13565299164
157	40210.713957741886	3100589573.736128	36999.61828687671
158	40722.99390143146	3183818178.7939873	37504.65191234935
159	41238.516123334484	3268723132.984217	38013.23799574466
160	41757.28062331307	3355326986.2592344	38525.3779875946
161	42279.28740142963	3443652635.51073	39041.07332945704
162	42804.53645765012	3533722807.0983653	39560.325447260984
163	43333.02779211208	3625561039.0698633	40083.13575848137
164	43864.7614046853	3719190072.9249544	40609.50566506019
165	44399.73729539662	3814633509.217409	41139.43656140294
166	44937.95546422895	3911914564.7710648	41672.929825933694
167	45479.415911077034	4011057871.5179944	42209.98683036264
168	46024.118636249914	4112086674.3895645	42750.608930925955
169	46572.06363933516	4215024952.903992	43294.79747693213
170	47123.250920620805	4319896961.106313	43842.55380283032
171	47677.68047999773	4426727717.561953	44393.879236587585
172	48235.35231728025	4535540427.553464	44948.775091268915
173	48796.26643295274	4646360749.702609	45507.242673768305
174	49360.42282658373	4759213469.683528	46069.283276914604
175	49927.82149843705	4874123115.550794	46634.89818734087
176	50498.46244824605	4991115132.663962	47204.08867733848
177	51072.34567620154	5110214500.202506	47776.856013899094
178	51649.47118215319	5231446879.434143	48353.20144994194
179	52229.838966251395	5354837978.261358	48933.12623316244
180	52813.4490283064	5480413198.265757	49516.63159763957
181	53400.30136851705	5608199198.866434	50103.71877223677
182	53990.39598699086	5738221120.525411	50694.38897211094
183	54583.732883203535	5870506390.885698	51288.64340820709
184	55180.3120575157	6005080742.941762	51886.48327822033
185	55780.1335100079	6141969061.205872	52487.909774610016
186	56383.19724047801	6281201579.293985	53092.92407725678
187	56989.50324895057	6422801609.502233	53701.52736197018
188	57599.051535609266	6566798527.369777	54313.720791782565
189	58211.84210024604	6713218899.663689	54929.50552488813
190	58827.87494300537	6862089641.610451	55548.882707396406
191	59447.150064074034	7013438303.865715	56171.85348214626
192	60069.66746264995	7167292813.831501	56798.4189785036
193	60695.42713952606	7323681773.932069	57428.580322766706
194	61324.429094074105	7482631234.660995	58062.33862943935
195	61956.67332669209	7644171122.49672	58699.69500857276
196	62592.15983734437	7808328377.977382	59340.650558590976
