N	cond
0	1.0
1	9.78497987587946
2	36.219362231840044
3	87.74044176651938
4	163.30972757366416
5	260.1765780731789
6	377.6696944207337
7	516.3604161725599
8	677.1085180440474
9	860.707084863486
10	1067.797544447282
11	1298.8728026939452
12	1554.3077665661954
13	1834.3948728049852
14	2139.3735333073364
15	2469.449155797092
16	2824.802833650367
17	3205.595472929749
18	3611.969918992712
19	4044.0530330952824
20	4501.958155965381
21	4985.787636190727
22	5495.635010469269
23	6031.586638695436
24	6593.722824128542
25	7182.118564121131
26	7796.844085052413
27	8437.96526954739
28	9105.54403196307
29	9799.638662181795
30	10520.304140799455
31	11267.5924245173
32	12041.552701688834
33	12842.231619965687
34	13669.673489194785
35	14523.920462780346
36	15405.012700422172
37	16312.988514574028
38	17247.88450257551
39	18209.735666128683
40	19198.575519574475
41	20214.436188243868
42	21257.34849802259
43	22327.342057139045
44	23424.445331004932
45	24548.685710905113
46	25700.089577119248
47	26878.682357069287
48	28084.48857901203
49	29317.531921613005
50	30577.835259919295
51	31865.420707945545
52	33180.30965823177
53	34522.52281862422
54	35892.080246612
55	37289.001381185204
56	38713.305072757976
57	40165.00961104889
58	41644.1327511718
59	43095.93502936013
