N	error	time	memory	ndofs
1	0.1461762437200659	0.19563066214323044	4236.9140625	7954
2	0.019076729833858008	0.2522251531481743	4236.9140625	11931
3	0.002127550258664994	0.4914222005754709	4236.9140625	15908
4	0.0021389400678291487	0.8129888959228992	4236.9140625	19885
5	0.0004943581338446064	1.2476708125323057	4236.9140625	23862
6	5.787223777051617e-05	1.7774942759424448	4236.921875	27839
7	3.529434536689973e-05	2.4969268515706062	4275.5859375	31816
8	1.7891045440962847e-05	3.3672436513006687	4285.6640625	35793
9	4.129492993252513e-06	4.438710818067193	4318.8359375	39770
10	1.0651656645454585e-06	5.947853844612837	4339.1171875	43747
11	7.821303435599847e-07	7.787492575123906	4325.97265625	47724
12	3.856962895172275e-07	9.826044036075473	4379.8046875	51701
13	1.4192205977374736e-07	11.917150638997555	4355.33203125	55678
14	5.165783446912735e-08	14.43339304625988	4415.921875	59655
15	2.1294244780584358e-08	17.248092154040933	4472.1484375	63632
16	1.3866686709443031e-08	19.984230156987906	5115.6640625	67609
17	1.0849890970937412e-08	23.204368248581886	5668.04296875	71586
18	1.0013764661394598e-08	26.834887124598026	5692.62890625	75563
19	9.177807018207637e-09	30.213971814140677	5849.82421875	79540
20	8.269632545535078e-09	33.83731052279472	6032.91015625	83517
21	7.843223974227153e-09	38.519946090877056	6632.62890625	87494
22	7.453889679238517e-09	42.6250181235373	6841.82421875	91471
23	7.506004837122138e-09	48.579617876559496	7866.07421875	95448
24	7.2917623293118e-09	52.41889265179634	8641.95703125	99425
