N	cond
1	1.0
2	20.867667245527365
3	130.53814083922407
4	484.24458100464756
5	1339.6641376419404
6	3067.457764007012
7	6145.509157753814
8	11134.7070405036
9	18635.724824717476
10	29230.903835988054
11	43421.54868170564
12	61575.539415446496
13	83899.28882981106
14	110440.5726836377
15	141118.09823652275
16	175765.7055176581
17	214177.48701780528
18	256144.0476110987
19	301476.033871817
20	350015.7675931807
21	401640.1329711743
22	456258.20012260025
23	513806.3678641263
24	574242.8472579467
25	637542.4856555976
26	703692.3667262084
27	772688.2904988234
28	844532.0710995242
29	919229.523700591
30	996789.0002465504
31	1077220.3461407674
32	1160534.1715447966
33	1246741.3536604976
34	1335852.7059302006
35	1427878.7664548508
36	1522829.670233519
37	1620715.0799154667
38	1721544.1562996118
39	1825325.5553403434
40	1932067.442394099
41	2041777.5164644255
42	2154463.040436447
43	2270130.8733968963
44	2388787.503295244
45	2510439.0778952297
46	2635091.4341913653
47	2762750.124372039
48	2893420.4398366264
49	3027107.430988316
50	3163815.925262128
51	3303550.542720039
52	3446315.708411044
53	3592115.6637016744
54	3740954.475122171
55	3892836.043303014
56	4047764.1079228716
57	4205742.255808705
58	4366773.925114
59	4530862.4103167355
60	4698010.867393224
61	4868222.317865863
62	5041499.654253596
63	5217845.642852674
64	5397262.930268572
65	5579754.046497422
66	5765321.410286232
67	5953967.335612387
68	6145694.03173352
69	6340503.613291303
70	6538398.104411761
71	6739379.438634268
72	6943449.471067835
73	7150609.976478019
74	7360862.65992471
75	7574209.154575085
76	7790651.032581828
77	8010189.805222528
78	8232826.926407539
79	8458563.799383394
80	8687401.777942173
81	8919342.171802359
82	9154386.24439043
83	9392535.223235143
84	9633790.297075905
85	9878152.621727519
86	10125623.31767796
87	10376203.478444137
88	10629894.166661803
89	10886696.418633023
90	11146611.247705905
91	11409639.640112644
92	11675782.563917596
93	11945040.96005225
94	12217415.755683046
95	12492907.85524408
96	12771518.145787919
97	13053247.494321292
98	13338096.754420433
99	13626066.761849755
100	13917158.337835833
101	14211372.288590003
102	14508709.406516934
103	14809170.464981893
104	15112756.228632702
105	15419467.448247623
106	15729304.864857621
107	16042269.198458916
108	16358361.166707534
109	16677581.4662568
110	16999930.78897542
111	17325409.813730054
112	17654019.208591435
113	17985759.631047938
114	18320631.728974205
115	18658636.133985378
116	18999773.477881864
117	19344044.375176214
118	19691449.435486622
119	20041989.260060217
120	20395664.433089204
121	20752475.53443558
122	21112423.143102493
123	21475507.821502693
124	21841730.11845742
125	22211090.586837206
126	22583589.76582734
127	22959228.192721214
128	23338006.39088448
129	23719924.869590387
130	24104984.157158818
131	24493184.746830817
132	24884527.138797887
133	25279011.80379106
134	25676639.259728048
135	26077409.96561788
136	26481324.4040361
137	26888383.01325812
138	27298586.295252282
139	27711934.66575799
140	28128428.605155982
141	28548068.548256118
142	28970854.915361542
143	29396788.15037726
144	29825868.68536032
145	30258096.932513766
146	30693473.31574227
147	31131998.24155222
148	31573672.130659442
149	32018495.38313762
150	32466468.37755961
151	32917591.55087155
152	33371865.242465585
153	33829289.8600803
154	34289865.77839868
155	34753593.4056586
156	35220473.0693381
157	35690505.16408207
158	36163690.0488146
159	36640028.09517185
160	37119519.620840706
161	37602165.02133236
162	38087964.60570636
163	38576918.79906775
164	39069027.859130576
165	39564292.19267784
166	40062712.091821015
167	40564287.881723456
168	41069019.88311134
169	41576908.470437795
170	42087953.93961576
171	42602156.58007281
172	43119516.77734197
173	43640034.74848598
174	44163710.922430515
175	44690545.53025975
176	45220538.87846563
177	45753691.25497975
178	46290003.019811705
179	46829474.407274
180	47372105.73754994
181	47917897.277578525
182	48466849.39242539
183	49018962.25542332
184	49574236.216393575
185	50132671.49261626
186	50694268.47795492
187	51259027.36010709
188	51826948.43670468
189	52398031.9214181
190	52972278.14610298
191	53549687.36745887
192	54130259.88964772
193	54713995.84128708
194	55300895.544937246
195	55890959.352441356
196	56484187.42590396
197	57080580.01915286
198	57680137.33344069
199	58282859.710638605
