N	cond
0	1.0
1	10.521465631695182
2	39.559448782096084
3	93.98406973042724
4	171.32436162228043
5	269.3289558280597
6	388.0803531359701
7	528.5361293288067
8	691.702687439995
9	878.4051020632337
10	1089.261389988644
11	1324.7201613291409
12	1585.1148343041177
13	1870.7108414543927
14	2181.7350778305454
15	2518.3887403261656
16	2880.850921889825
17	3269.279822903201
18	3683.8148596088668
19	4124.579907393638
20	4591.686702320745
21	5085.237567017138
22	5605.327211579688
23	6152.043795264506
24	6725.46956985079
25	7325.681358831595
26	7952.751001226448
27	8606.745792465666
28	9287.728910077609
29	9995.75980488457
30	10730.89454743572
31	11493.186129667554
32	12282.684727542535
33	13099.437931734477
34	13943.49095236324
35	14814.886802197023
36	15713.666461361925
37	16639.86902585751
38	17593.531841759002
39	18574.69062670345
40	19583.3795801378
41	20619.631483559242
42	21683.47779190931
43	22774.948717112296
44	23894.07330450784
45	25040.879503017055
46	26215.394229647693
47	27417.643428917134
48	28647.652127594964
49	29905.444485419066
50	31191.04384196412
51	32504.472760138902
52	33845.753066564524
53	35214.90588912162
54	36611.95169194579
55	38036.91030806357
56	39489.800969789794
57	40970.6423373182
58	42479.45252524446
59	43960.39274976132
