N	cond
1	1.0
2	31.351026219011448
3	239.87832885356914
4	1006.672197935554
5	3006.6434963750357
6	7165.037847510383
7	14475.806907074999
8	25730.579029657074
9	41303.41029466346
10	61130.76977385896
11	84875.74544153547
12	112135.57058293984
13	142575.82850941917
14	175973.1422250977
15	212203.54971419327
16	251213.68974890094
17	292993.86836401024
18	337558.55992031505
19	384933.95085574995
20	435150.5861481047
21	488239.31072500563
22	544229.2148524098
23	603146.7550171284
24	665015.5437658255
25	729856.503708833
26	797688.2022187436
27	868527.254895892
28	942388.7292455051
29	1019286.5075423308
30	1099233.5862298154
31	1182242.3021474257
32	1268324.4857993242
33	1357491.548160093
34	1449754.5122383253
35	1545124.0026862465
36	1643610.2074301532
37	1745222.8244736479
38	1849971.0053935668
39	1957863.3046764983
40	2068907.6411341531
41	2183111.27606445
42	2300480.8091330053
43	2421022.1922220667
44	2544740.759480325
45	2671641.2701344956
46	2801727.961752363
47	2935004.609466145
48	3071474.588195258
49	3211140.93434003
50	3354006.4048559945
51	3500073.5316939573
52	3649344.6691373256
53	3801822.0356937815
54	3957507.7480862336
55	4116403.847108749
56	4278512.319387255
57	4443835.111929242
58	4612374.141795745
59	4784131.30186362
60	4959108.464027966
61	5137307.481231338
62	5318730.18308774
63	5503378.376861017
64	5691253.844909892
65	5882358.340181328
66	6076693.586147353
67	6274261.272964573
68	6475063.057549655
69	6679100.56086308
70	6886375.368662766
71	7096889.030022671
72	7310643.058400333
73	7527638.931283304
74	7747878.0915676495
75	7971361.94787638
76	8198091.877159335
77	8428069.222201232
78	8661295.29662503
79	8897771.383493
80	9137498.737239046
81	9380478.585706482
82	9626712.127435412
83	9876200.538478402
84	10128944.967247268
85	10384946.541370422
86	10644206.361878948
87	10906725.51012637
88	11172505.044821937
89	11441546.002953697
90	11713849.401987273
91	11989416.241040016
92	12268247.498038067
93	12550344.133832013
94	12835707.091477575
95	13124337.29609899
96	13416235.656928977
97	13711403.06511446
98	14009840.39631907
99	14311548.515907517
100	14616528.265941743
101	14924780.480986208
102	15236305.974901736
103	15551105.556754721
104	15869180.01660917
105	16190530.12834779
106	16515156.662622835
107	16843060.37182754
108	17174241.992887717
109	17508702.257583093
110	17846441.88576625
111	18187461.581282027
112	18531762.04515736
113	18879343.959112816
114	19230208.002010573
115	19584354.836869113
116	19941785.118786987
117	20302499.495834284
118	20666498.6057457
119	21033783.07317988
120	21404353.51653642
121	21778210.553796764
122	22155354.77775827
123	22535786.780472405
124	22919507.155388493
125	23306516.468984842
126	23696815.301568303
127	24090404.204618882
128	24487283.738977302
129	24887454.44925375
130	25290916.87672787
131	25697671.549933705
132	26107719.005004976
133	26521059.736746527
134	26937694.273912575
135	27357623.137509286
136	27780846.793286122
137	28207365.769811116
138	28637180.51716059
139	29070291.553225443
140	29506699.327290554
141	29946404.320776112
142	30389406.99578586
143	30835707.80802016
144	31285307.20261357
145	31738205.646407112
146	32194403.57001928
147	32653901.40133473
148	33116699.593567554
149	33582798.56384702
150	34052198.73098342
151	34524900.52531773
152	35000904.34679961
153	35480210.61400462
154	35962819.72400517
155	36448732.05982688
156	36937948.05585437
157	37430468.06698093
158	37926292.50901927
159	38425421.73006781
160	38927856.13595397
161	39433596.07320348
162	39942641.979637004
163	40454994.117525294
164	40970652.9736925
165	41489618.8065421
166	42011892.00959244
167	42537472.91120091
168	43066361.88788919
169	43598559.28885702
170	44134065.4378195
171	44672880.67850916
172	45215005.315670915
173	45760439.76178601
174	46309184.2332257
175	46861239.10373021
176	47416604.774970405
177	47975281.46801238
178	48537269.53575196
179	49102569.25199847
180	49671180.967223875
181	50243104.993171066
182	50818341.58506721
183	51396891.0924396
184	51978753.7940341
185	52563929.99844253
186	53152420.008433804
187	53744223.98866232
188	54339342.45563426
189	54937775.525282234
190	55539523.53172996
191	56144586.78520624
192	56752965.48223792
193	57364659.952244766
194	57979670.46906254
195	58597997.27936007
196	59219640.63936905
197	59844600.82960645
198	60472878.17116853
199	61104472.90205508
200	61739385.175082766
201	62377615.382402755
202	63019163.713561215
203	63664030.4214557
204	64312215.763419814
205	64963719.993253484
206	65618543.34451066
207	66276686.128430605
208	66938148.47963743
209	67602930.70212841
210	68271032.98634946
211	68942455.69053404
212	69617198.950159
213	70295262.92614515
214	70976648.010564
215	71661354.28265777
216	72349382.03083272
217	73040731.56231685
218	73735403.0273597
219	74433396.6954784
220	75134712.57982072
221	75839351.22333664
222	76547312.50275044
223	77258596.99972522
224	77973204.5758223
225	78691135.84526823
226	79412390.65075906
227	80136969.25741568
228	80864872.02592255
229	81596098.98043002
230	82330650.59208481
231	83068526.71855687
232	83809727.92626601
233	84554254.04223356
234	85302105.5958627
235	86053282.46636862
236	86807785.28905472
237	87565613.71357037
238	88326768.45868711
239	89091249.2876251
240	89859056.57666735
241	90630190.59879306
242	91404651.42121263
243	92182439.23534653
244	92963554.27997394
245	93747996.69871889
246	94535766.57712877
247	95326864.35092558
248	96121290.08484313
249	96919043.83538431
250	97720125.79402728
251	98524536.42256562
252	99332275.49880807
253	100143343.50857006
254	100957740.52836418
255	101775466.5301384
256	102596521.87149766
257	103420906.76168501
258	104248621.25307214
259	105079665.71167935
260	105914040.01901786
261	106751744.57920821
262	107592779.27974108
263	108437144.92214254
264	109284841.06785661
265	110135867.64718275
266	110990225.23761135
267	111847914.21946105
268	112708934.3224745
269	113573285.9263759
270	114440969.01324347
271	115311984.14836396
272	116186330.93337858
273	117064009.91707848
274	117945020.80409276
275	118829364.4399847
276	119717040.4016311
277	120608048.99423724
278	121502390.39750938
279	122400064.97064437
280	123301072.28967834
281	124205413.06037743
282	125113087.01127401
283	126024094.91010655
284	126938436.07888375
285	127856111.4221963
286	128777120.43593054
287	129701463.67357942
288	130629141.20886715
289	131560152.95362334
290	132494499.22860602
291	133432180.18072721
292	134373195.99634016
293	135317546.89284515
294	136265232.6699016
295	137216253.47716624
296	138170610.11635065
297	139128301.7742743
298	140089329.26419824
299	141053692.02058265
300	142021391.42904508
301	142992426.1417386
302	143966796.83036545
303	144944504.5520768
304	145925548.13643768
305	146909927.93479028
306	147897644.84359348
307	148888698.37125298
308	149883088.33592838
309	150880815.2024189
310	151881880.06994852
311	152886281.71428874
312	153894021.04107857
313	154905097.49107367
314	155919511.47224754
315	156937263.45978323
316	157958353.18082243
317	158982780.5578519
318	160010546.37349233
319	161041650.49664792
320	162076092.74292338
321	163113873.305117
322	164154992.72829962
323	165199450.05270416
324	166247247.1225635
325	167298383.2626546
326	168352857.27315006
327	169410670.73853248
328	170471823.95670378
329	171536315.9550703
330	172604147.4530997
331	173675318.62502977
332	174749829.5400158
333	175827680.69139832
334	176908870.99234545
335	177993401.9111958
336	179081272.26807052
337	180172483.2576493
338	181267034.50040162
339	182364925.9370586
340	183466158.45070946
341	184570730.7900223
342	185678644.35898238
343	186789898.86421493
344	187904493.72965717
345	189022430.4134207
346	190143707.84835243
347	191268326.18968818
348	192396286.3437029
349	193527587.83784086
350	194662231.16317293
351	195800215.40456825
352	196941542.29279956
353	198086210.11502787
354	199234220.640952
355	200385572.949662
356	201540267.70884743
357	202698304.41147274
358	203859683.30214277
359	205024405.2088412
360	206192468.63482586
361	207363875.8634544
362	208538625.00936487
363	209716717.1055974
364	210898152.03069738
365	212082929.97415188
366	213271051.56816038
367	214462515.6769932
368	215657323.19107008
369	216855474.1465915
370	218056968.70037532
371	219261806.68163362
372	220469989.000769
373	221681513.58687973
374	222896383.1471641
375	224114596.30973944
376	225336153.38951537
377	226561054.87309065
378	227789301.0108261
379	229020890.75840062
380	230255824.30544868
381	231494102.81355274
382	232735725.70965445
383	233980693.7749713
384	235229004.78002718
385	236480662.63275212
386	237735664.7915367
387	238994011.29159167
388	240255703.55892363
389	241520740.64551765
390	242789123.10511395
391	244060850.21161866
392	245335923.83234993
393	246614342.56901562
394	247896107.21411002
395	249181216.35782918
396	250469671.1833263
397	251761471.72723448
398	253056618.5855826
399	254355111.77658394
