N	error	time	memory	ndofs
1	0.14608655118065184	0.04679683782160282	4232.984375	2866
2	0.019047350397752686	0.10442229174077511	4232.9765625	4299
3	0.0021297050538091698	0.19892735965549946	4232.99609375	5732
4	0.00213260640016923	0.3280529845505953	4233.0	7165
5	0.0005352291905294389	0.2562707457691431	4233.01171875	8598
6	0.00010160066931381454	0.3691763561218977	4233.0234375	10031
7	7.394784856973163e-05	0.5046083368360996	4233.04296875	11464
8	6.723295984841876e-05	0.6647284124046564	4233.046875	12897
9	6.211646935761392e-05	0.8528570923954248	4233.05859375	14330
10	6.121012375848181e-05	1.0750909950584173	4233.06640625	15763
11	6.0527975782139475e-05	1.3161935675889254	4233.07421875	17196
12	6.021761476119385e-05	1.6106471456587315	4233.08203125	18629
13	6.0164118460268045e-05	1.9375769589096308	4233.10546875	20062
14	6.019153072924246e-05	2.288936687633395	4272.1875	21495
15	6.022586064796766e-05	2.7768745366483927	4277.6640625	22928
16	6.0246361163842436e-05	3.154404314234853	4298.203125	24361
17	6.025459509674922e-05	3.782374355942011	4314.4765625	25794
18	6.025644759407058e-05	4.361455909907818	4349.9296875	27227
19	6.025602440958165e-05	5.059701168909669	4379.5625	28660
20	6.0255231616538616e-05	5.786195162683725	4376.0078125	30093
21	6.025466483042392e-05	6.6964301355183125	4389.76171875	31526
22	6.0254373697028755e-05	7.629176400601864	4409.5	32959
23	6.025426223157449e-05	8.754313478246331	4409.421875	34392
24	6.025423827917015e-05	9.60747055336833	4416.65234375	35825
25	6.0254246117248465e-05	10.848946738988161	4427.45703125	37258
26	6.025425984666211e-05	12.007042462006211	4389.8515625	38691
27	6.025427054720596e-05	13.440037723630667	4506.125	40124
28	6.025427683885435e-05	14.485421858727932	4513.34375	41557
29	6.025427981334649e-05	15.986162630841136	4562.5859375	42990
