N	cond
0	1.0
1	9.592899931540991
2	35.29563912617354
3	85.91936433698658
4	160.91879183048653
5	257.4711084829683
6	374.6761234623063
7	512.9717812993318
8	673.1633079725449
9	856.0275858959774
10	1062.2078315978451
11	1292.2066366015158
12	1546.410104825943
13	1825.1195113294857
14	2128.5795026466444
15	2456.99786939217
16	2810.55671227117
17	3189.417711028964
18	3593.7246854800405
19	4023.605577168396
20	4479.17464218267
21	4960.534787429975
22	5467.779717362818
23	6000.99565380326
24	6560.262582315097
25	7145.655112423973
26	7757.243081589961
27	8395.092013341411
28	9059.263498936123
29	9749.815536047805
30	10466.802836312287
31	11210.277104488565
32	11980.287289995476
33	12776.879812321167
34	13600.09876268918
35	14449.986084735361
36	15326.581736744602
37	16229.923837730796
38	17160.048799253636
39	18116.991444588875
40	19100.785116697985
41	20111.46177628625
42	21149.052091039764
43	22213.585517108615
44	23305.09037359605
45	24423.593910917243
46	25569.122373665567
47	26741.70105843943
48	27941.35436722819
49	29168.105856835376
50	30421.978284532284
51	31702.993650483804
52	33011.17323702234
53	34346.5376454213
54	35709.10682984862
55	37098.900129188834
56	38515.936296826
57	39960.23352827689
58	41431.80948726134
59	42876.20424620843
