N	error	time	memory	ndofs
1	0.15621831418817536	0.09286845289170742	1199.16796875	5092
2	0.024282926950632434	0.22881685197353363	1199.1875	7638
3	0.004476391458790312	0.22420371137559414	1199.1953125	10184
4	0.002499810032842044	0.37878020107746124	1199.19921875	12730
5	0.0009292371495841919	0.5824685581028461	1199.21484375	15276
6	3.9169346670016726e-05	0.8337684068828821	1199.2265625	17822
7	7.68040151446338e-05	1.1424399502575397	1278.69140625	20368
8	4.7284911021522316e-05	1.4898943547159433	1299.828125	22914
9	1.9175752553545933e-05	1.9443083200603724	1323.4921875	25460
10	6.859816783506451e-06	2.4566831048578024	1416.75	28006
11	3.6987209468127622e-06	3.092322139069438	1686.90625	30552
12	2.0634004015644772e-06	3.8461361192166805	1771.28125	33098
13	1.0212422782053245e-06	4.724725687876344	1910.57421875	35644
14	4.4878309532820894e-07	5.779239507392049	2005.94921875	38190
15	1.4052874984413966e-07	7.1356369107961655	2128.1328125	40736
16	4.161745662112047e-09	8.32906087860465	2247.79296875	43282
17	7.245781196862193e-08	9.777671538293362	2374.68359375	45828
18	1.1137756436232916e-07	11.26887058839202	2509.2734375	48374
19	1.2728388283456784e-07	13.07057886570692	2740.0859375	50920
20	1.315994376218861e-07	14.579620368778706	2944.875	53466
21	1.3103668287342953e-07	16.512263014912605	3088.640625	56012
22	1.2911013065869622e-07	18.595419049263	3308.19140625	58558
23	1.2734288338576154e-07	20.99734084866941	3845.203125	61104
24	1.2616927465203184e-07	22.978702491149306	4192.9140625	63650
25	1.2554286206523517e-07	26.053561195731163	4473.02734375	66196
26	1.2528059696185582e-07	27.872208198532462	4805.55859375	68742
27	1.252141136966723e-07	31.42741058394313	5128.01171875	71288
28	1.2523150274852554e-07	33.576666317880154	5716.6953125	73834
29	1.2527218402493958e-07	37.80273282341659	5785.921875	76380
