N	error	time	memory	ndofs
1	0.1562024185228141	0.03997230716049671	127.1328125	2866
2	0.024270916161133336	0.0971269141882658	157.9296875	4299
3	0.004482517841241492	0.18468202278017998	180.96484375	5732
4	0.002502154753079783	0.32268305495381355	213.2421875	7165
5	0.0009343960941198536	0.24508848413825035	225.6953125	8598
6	4.296373335947762e-05	0.3533009272068739	261.30078125	10031
7	6.802836947823808e-05	0.48225629329681396	303.80859375	11464
8	4.557399199251467e-05	0.6395928394049406	346.1875	12897
9	2.4443382504853705e-05	0.8243166580796242	394.10546875	14330
10	1.8779807308784416e-05	1.0330729521811008	450.84765625	15763
11	1.6488564625134955e-05	1.275245290249586	514.21875	17196
12	1.4407183469958479e-05	1.5581926610320807	583.58984375	18629
13	1.321499529680596e-05	1.8636698722839355	682.48828125	20062
14	1.27973665508089e-05	2.231579639017582	759.0859375	21495
15	1.2761361330004607e-05	2.662269664928317	929.30859375	22928
16	1.2835953861484556e-05	3.158923016861081	974.95703125	24361
17	1.2908147521674144e-05	3.607968293130398	1106.42578125	25794
18	1.2951568072340936e-05	4.282413527369499	1223.109375	27227
19	1.2970963685126178e-05	5.012437773868442	1359.69140625	28660
20	1.2976669563290663e-05	5.714394168928266	1457.12890625	30093
21	1.2976461805250632e-05	6.613148812204599	1573.21875	31526
22	1.2974582525507279e-05	7.499432655051351	1698.90625	32959
23	1.2972812941027889e-05	8.711222106590867	1815.765625	34392
24	1.297163851868584e-05	9.546232363209128	2027.1171875	35825
25	1.2971013628609185e-05	10.70036954805255	2137.90625	37258
26	1.2970752577867572e-05	11.907968593761325	2300.80078125	38691
27	1.2970686607403709e-05	13.067160654813051	2444.890625	40124
28	1.297070413064234e-05	14.171109398826957	2624.63671875	41557
29	1.2970744835266641e-05	15.61032591201365	2773.18359375	42990
