N	cond
0	1.0
1	3.0657392069341523
2	3.510593225093979
3	3.496216577025002
4	3.9110988970006884
5	4.432103539801724
6	5.24422462033462
7	6.228724920792093
8	7.380669619534696
9	8.717945280811414
10	10.382877794939347
11	12.776412179336553
12	15.773309266064421
13	19.202874645622543
14	23.019145813888493
15	27.206236588772423
16	31.757875739791324
17	36.671709407591294
18	41.94714786503316
19	47.58450757987688
20	53.58456697019706
21	59.94832328010493
22	66.67689434126746
23	73.77143987692614
24	81.23312043584157
25	89.06308140190635
26	97.26243537373372
27	105.83225698079131
28	114.77358039062769
29	124.08739655706805
30	133.7746546412049
31	143.83626278628407
32	154.27308924211513
33	165.08596457048597
34	176.27568328510145
35	187.84300573048174
36	199.7886600635728
37	212.11334396138878
38	224.81772638735254
39	237.90244924366988
40	251.36812888533677
41	265.2153575955893
42	279.4447049406958
43	294.0567190352548
44	309.05192773906344
45	324.43083976140315
46	340.1939456959215
47	356.34171898861223
48	372.87461683708165
49	389.7930810330223
50	407.0975387487398
51	424.78840327143143
52	442.866074691143
53	461.3309405441435
54	480.1833764155882
55	499.4237465048252
56	519.0524041555067
57	539.0696923534679
58	559.4759441946652
59	580.2714833251852
60	601.4566243555125
61	623.0316732507562
62	644.99692769857
63	667.3526774563088
64	690.0992046788552
65	713.2367842284169
66	736.7656839675207
67	760.6861650363119
68	784.9984821151986
69	809.702883673783
70	834.7996122069741
71	860.288904459095
72	886.1709916367043
73	912.4460996109062
74	939.1144491097072
75	966.1762559011008
76	993.6317309673639
77	1021.4810806711599
78	1049.7245069138605
79	1078.3622072866017
80	1107.3943752144055
81	1136.821200093893
82	1166.6428674247734
83	1196.8595589356096
84	1227.4714527041108
85	1258.478723272214
86	1289.881541756312
87	1321.6800759528037
88	1353.8744904392977
89	1386.4649466715916
90	1419.4516030767766
91	1452.8346151425296
92	1486.6141355028733
93	1520.7903140205362
94	1555.3632978661255
95	1590.333231594207
96	1625.7002572165266
97	1661.464514272373
98	1697.6261398963818
99	1737.150518382541
