N	cond
1	1.0
2	19.197596534534895
3	73.349824062463
4	177.5785880527784
5	264.66943924737785
6	439.2885880459392
7	680.5725530160739
8	944.7943361737305
9	1278.992951137078
10	1659.1105409072736
11	2083.3024412545938
12	2574.526810812128
13	3119.33550382986
14	3718.8757249185082
15	4378.279293781186
16	5093.079155886855
17	5865.27259888745
18	6696.320795786313
19	7585.373106055299
20	8533.352454965741
21	9540.511309966518
22	10606.73424136703
23	11732.432350163517
24	12917.826024323493
25	14163.094687058869
26	15468.476109749043
27	16834.111973810464
28	18260.144731831493
29	19746.735812484934
30	21294.0285313769
31	22902.16150255221
32	24571.263370742105
33	26301.450447673822
34	28092.835277884362
35	29945.526313036087
36	31859.626722397876
37	33835.23476658576
38	35872.44350210865
39	37971.341515534914
40	40132.01373712325
41	42354.54160211998
42	44639.003163775385
43	46985.47323383666
44	49394.023567634234
45	51864.723116487185
46	54397.638231518235
47	56992.832807308114
48	59650.368408020644
49	62370.304390666024
50	65152.69803085917
51	67997.60464349066
52	70905.07768990859
53	73875.16887315476
54	76907.9282264551
55	80003.40419663831
56	83161.6437235749
57	86382.69231419214
58	89666.59411099988
59	93013.39195584065
60	96423.1274496734
61	99895.8410089283
62	103431.57191831643
63	107030.35838065665
64	110692.23756357368
65	114417.24564345821
66	118205.41784684514
67	122056.78848963187
68	125971.39101399081
69	129949.25802331684
70	133990.42131526436
71	138094.91191302883
72	142262.7600949387
73	146493.99542260278
74	150788.6467675892
75	155146.74233674014
76	159568.30969613642
77	164053.3757942039
78	168601.96698326376
79	173214.10904048983
80	177889.82718750025
81	182629.1461092276
82	187432.08997206367
83	192298.68244065996
84	197228.94669487487
85	202222.9054448384
86	207280.5809463377
87	212401.99501492002
88	217587.16903993534
89	222836.12399724562
90	228148.88046213242
91	233525.45862121833
92	238965.87828404363
93	244470.1588942429
94	250038.31954041225
95	255670.37896551285
96	261366.355578006
97	267126.26746037754
98	272950.13237806846
99	278837.9677893701
100	284789.7908527124
101	290805.6184350122
102	296885.46712034044
103	303029.3532156593
104	309237.2927603832
105	315509.3015312844
106	321845.3950504321
107	328245.58859191154
108	334709.8971868297
109	341238.3356304442
110	347830.91848752863
111	354487.6600991566
112	361208.57458598964
113	367993.6758558301
114	374842.97760755394
115	381756.49333577283
116	388734.23633668356
117	395776.21971220075
118	402882.45637347107
119	410052.9590478315
120	417287.740279992
121	424586.8124376999
122	431950.18771575514
123	439377.87813985243
124	446869.89556924853
125	454426.2517017574
126	462046.95807655324
127	469732.02607695
128	477481.466936245
129	485295.2917364969
130	493173.51141751296
131	501116.1367730847
132	509123.17845935357
133	517194.6469975212
134	525330.5527697293
135	533530.9060327741
136	541795.7169106983
137	550124.9954047564
138	558518.7513882252
139	566976.9946173283
140	575499.7347278659
141	584086.9812401432
142	592738.7435588945
143	601455.0309763633
144	610235.8526775476
145	619081.2177369158
146	627991.135123966
147	636965.6137042566
148	646004.6622422582
149	655108.2893991121
150	664276.5037406795
151	673509.3137368669
152	682806.7277588814
153	692168.7540888776
154	701595.4009164269
155	711086.6763388561
156	720642.5883661286
157	730263.1449240891
158	739948.3538512111
159	749698.2228994941
160	759512.7597422344
161	769391.9719753393
162	779335.8671017918
163	789344.4525596044
164	799417.7357019068
165	809555.723816881
166	819758.4240975528
167	830025.8436824124
168	840357.9896343318
169	850754.8689416718
170	861216.4885202653
171	871742.8552225932
172	882333.9758260458
173	892989.8570554575
174	903710.5055557187
175	914495.9279132616
176	925346.1306551336
177	936261.1202369941
178	947240.9030551699
179	958285.4854515042
180	969394.8737000122
181	980569.0740206017
182	991808.0925740128
183	1003111.9354642164
184	1014480.6087419237
185	1025914.1183900696
186	1037412.4703540156
187	1048975.670516219
188	1060603.724700942
189	1072296.6386848742
190	1084054.4182085604
191	1095877.0689303824
192	1107764.5964865042
193	1119717.0064422588
194	1131734.304333301
195	1143816.495636007
196	1155963.585779113
197	1168175.5801533256
198	1180452.4840859284
199	1192794.3028876192
