N	cond
1	1.0
2	2.6257594674783453
3	15.191633317365941
4	49.80437465140382
5	115.6965720650017
6	212.1423173137217
7	340.8222389845607
8	505.91939502222453
9	703.6530726717651
10	934.8369483331203
11	1200.3114692238607
12	1500.19875786846
13	1835.3057432975063
14	2205.7485451033567
15	2611.4793205666556
16	3052.742542946451
17	3529.8495998821695
18	4043.1126481894266
19	4592.751162024972
20	5178.886051517501
21	5801.635543838378
22	6461.1515790491785
23	7157.598541960651
24	7891.122150526703
25	8661.837155689189
26	9469.840459411302
27	10315.22791008654
28	11198.098119449214
29	12118.546394578416
30	13076.65894474994
31	14072.512946955754
32	15106.180450006503
33	16177.731329432956
34	17287.233374676638
35	18434.750968861317
36	19620.34441997804
37	20844.070512262017
38	22105.983477034413
39	23406.135521605323
40	24744.576802885396
41	26121.355263310896
42	27536.516675601953
43	28990.10489313439
44	30482.16210700403
45	32012.728980270247
46	33581.844686392564
47	35189.54694527781
48	36835.87210466141
49	38520.85524670403
50	40244.530279879575
51	42006.93000162079
52	43808.08614462454
53	45648.02942475625
54	47526.78959538168
55	49444.395501535575
56	51400.875127121486
57	53396.25563494672
58	55430.56340286209
59	57503.82405925043
60	59616.062517907616
61	61767.30301100246
62	63957.569119145686
63	66186.88379884748
64	68455.26940870288
65	70762.74773380952
66	73109.34000995784
67	75495.0669452791
68	77919.94874165373
69	80384.00511389783
70	82887.25530861417
71	85429.71812180399
72	88011.41191564556
73	90632.35463450645
74	93292.56381977048
75	95992.05662460826
76	98730.84982707372
77	101508.95984359478
78	104326.40274083531
79	107183.1942478783
80	110079.34976719937
81	113014.88438578251
82	115989.81288454702
83	119004.14974893555
84	122057.90917801084
85	125151.10509301239
86	128283.75114645388
87	131455.8607299197
88	134667.4469822068
89	137918.52279675592
90	141209.10082832907
91	144539.1935011639
92	147908.81301422542
93	151317.97134878638
94	154766.68027329238
95	158254.95135059886
96	161782.79594291083
97	165350.22521700768
98	168957.25015048904
99	172603.8815354168
100	176290.12998415643
101	180016.00593434885
102	183781.5196526195
103	187586.68123879985
104	191431.50063206718
105	195315.98761164874
106	199240.15180451598
107	203204.00268632447
108	207207.54958560917
109	211250.80168955823
110	215333.76804421615
111	219456.45755999567
112	223618.87901319753
113	227821.04105230529
114	232062.95219566778
115	236344.62084043442
116	240666.0552609754
117	245027.26361278395
118	249428.25393629688
119	253869.0341593065
120	258349.61209736185
121	262869.99545736815
122	267430.19184186345
123	272030.2087476814
124	276670.0535717714
125	281349.73361042276
126	286069.2560634179
127	290828.62803404196
128	295627.85653345846
129	300466.94848117174
130	305345.9107055388
131	310264.7499497888
132	315223.47286797134
133	320222.08603400405
134	325260.5959341554
135	330339.0089771887
136	335457.331491183
137	340615.5697268035
138	345813.7298575515
139	351051.81798334117
140	356329.84012672864
141	361647.80224378104
142	367005.7102173971
143	372403.56985750375
144	377841.386909239
145	383319.1670528844
146	388836.9158993442
147	394394.6389917844
148	399992.3418193118
149	405630.0298002964
150	411307.7082961685
151	417025.38260792126
152	422783.0579753468
153	428580.7395834978
154	434418.43255510915
155	440296.141963208
156	446213.8728198307
157	452171.6300900253
158	458169.4186772011
159	464207.2434359373
160	470285.10917476926
161	476403.02064239304
162	482560.9825426538
163	488758.9995319123
164	494997.07620987674
165	501275.21714758757
166	507593.42684654816
167	513951.7097816551
168	520350.0703563955
169	526788.5129636157
170	533267.04193257
171	539785.6615468627
172	546344.3760637298
173	552943.1896809613
174	559582.1065596187
175	566261.1308335763
176	572980.2665806189
177	579739.5178476732
178	586538.888631804
179	593378.3829172463
180	600258.0046180064
181	607177.757640489
182	614137.6458378227
183	621137.6730263506
184	628177.8429946689
185	635258.1594928007
186	642378.6262420185
187	649539.2469162733
188	656740.0251753324
189	663980.9646268273
190	671262.0688561326
191	678583.34142008
192	685944.7858450998
193	693346.4055906174
194	700788.2041461184
195	708270.1849320752
196	715792.3513391633
197	723354.7067528818
198	730957.2544897314
199	738599.997887295
