N	error	time	memory	ndofs
1	0.15621855552166503	0.19182920083403587	2667.7265625	7954
2	0.024283053722918627	0.24273542501032352	2667.7265625	11931
3	0.004476332325990928	0.4841373022645712	2667.7265625	15908
4	0.002499787657727938	0.8199052941054106	2667.7265625	19885
5	0.0009291879843241663	1.2599464487284422	2667.7265625	23862
6	3.915143025150967e-05	1.8159630876034498	2667.734375	27839
7	7.691114262925664e-05	2.513117576017976	2706.3046875	31816
8	4.7332830412106835e-05	3.3754012677818537	2716.6640625	35793
9	1.915981903388543e-05	4.478062931448221	2765.2578125	39770
10	6.761074585770139e-06	6.029544711112976	2766.96875	43747
11	3.5769445510574e-06	7.77855789847672	2844.94140625	47724
12	1.975475611079701e-06	9.759186701849103	3182.0390625	51701
13	9.875810531500922e-07	11.857117807492614	3279.17578125	55678
14	4.833783520666391e-07	14.278278736397624	3794.34375	59655
15	2.4961492558273113e-07	17.196416281163692	3697.328125	63632
16	1.3312943838897413e-07	19.829201692715287	4363.23046875	67609
17	7.104182926810093e-08	23.248232666403055	4591.6875	71586
18	3.8290127139818106e-08	26.93008891120553	4942.671875	75563
19	2.1388219267323757e-08	30.17456649430096	5139.515625	79540
20	1.2419035893265575e-08	33.552012452855706	5664.4140625	83517
21	7.600289833684381e-09	38.02438708394766	6193.7578125	87494
22	4.8428958111732106e-09	42.265996465459466	6933.33984375	91471
23	3.1752407605103886e-09	47.79658680409193	6870.2421875	95448
24	2.1078077119859886e-09	52.42692011222243	7991.9609375	99425
