N	cond
1	1.0
2	5.081770855159268
3	7.7078898191716085
4	34.64615222368409
5	89.81246772061668
6	175.4572129442337
7	299.0636202471627
8	455.5977693062489
9	647.3517513628309
10	874.5624085150455
11	1135.9280551615366
12	1432.333303859852
13	1763.6102210758036
14	2129.7655340867973
15	2531.156366512252
16	2967.9354541062435
17	3440.316454945889
18	3948.5046987546257
19	4492.657551702874
20	5072.9484523619785
21	5689.545671321677
22	6342.602992540297
23	7032.262053447456
24	7758.650042696482
25	8521.885126907118
26	9322.07978688455
27	10159.3398942016
28	11033.763941842217
29	11945.443125696005
30	12894.462437173761
31	13880.90198553719
32	14904.83760933825
33	15966.340960911839
34	17065.4795882918
35	18202.317251964112
36	19376.91438720055
37	20589.328491662804
38	21839.614350912278
39	23127.82417738759
40	24454.00776126989
41	25818.212659932477
42	27220.484390145044
43	28660.86658535234
44	30139.40111503165
45	31656.128187171522
46	33211.086450789255
47	34804.31309897215
48	36435.84396416741
49	38105.71360080772
50	39813.95535735181
51	41560.60144262687
52	43345.68298935312
53	45169.23011389125
54	47031.27197138971
55	48931.83680578356
56	50870.951995579664
57	52848.64409673408
58	54864.938883016475
59	56919.86138364417
60	59013.435918478324
61	61145.686130594746
62	63316.635016498476
63	65526.30495526581
64	67774.7177349412
65	70061.89457807911
66	72387.85616560036
67	74752.62265898201
68	77156.21372135673
69	79598.648537472
70	82079.94583234984
71	84600.12388930183
72	87159.20056654271
73	89757.19331318047
74	92394.11918424112
75	95069.99485511062
76	97784.83663522478
77	100538.66048070055
78	103331.48200697359
79	106163.31650011738
80	109034.17892835685
81	111944.08395252877
82	114893.04593641209
83	117881.07895613802
84	120908.19680918768
85	123974.41302392409
86	127079.74086760286
87	130224.19335459132
88	133407.78325371945
89	136630.52309643297
90	139892.42518317173
91	143193.50159017905
92	146533.76417647643
93	149913.22459050236
94	153331.89427472072
95	156789.78447273935
96	160286.906233918
97	163823.27041994617
98	167398.8877079802
99	171013.76859816833
100	174667.9234156023
101	178361.36231748873
102	182094.09529602528
103	185866.13218236668
104	189677.48265239174
105	193528.15622869524
106	197418.16228653828
107	201347.51005502965
108	205316.2086231633
109	209324.26694159757
110	213371.69382600766
111	217458.49796169242
112	221584.6879056538
113	225750.2720886905
114	229955.25882083428
115	234199.65629104976
116	238483.472573106
117	242806.71562683443
118	247169.39329723114
119	251571.51332498447
120	256013.0833417423
121	260494.11087356776
122	265014.6033472777
123	269574.5680876275
124	274174.0123225732
125	278812.9431844899
126	283491.367711706
127	288209.2928498609
128	292966.7254579733
129	297763.67230351904
130	302600.14006903884
131	307476.13535229926
132	312391.66466907994
133	317346.7344548082
134	322341.3510623058
135	327375.52076813066
136	332449.24977351254
137	337562.544201156
138	342715.41010662133
139	347907.8534653214
140	353139.88018677745
141	358411.4961110727
142	363722.707007097
143	369073.51857693505
144	374463.9364636904
145	379893.9662348168
146	385363.6134028235
147	390872.88341570756
148	396421.7816591001
149	402010.3134589617
150	407638.48408210406
151	413306.29873985704
152	419013.7625822715
153	424760.8807058945
154	430547.6581523561
155	436374.0999093124
156	442240.21090891305
157	448145.996032213
158	454091.46011252934
159	460076.6079248956
160	466101.44420237
161	472165.9736258911
162	478270.20082452294
163	484414.13038116565
164	490597.76683544245
165	496821.11468910775
166	503084.17837875383
167	509386.96232087427
168	515729.47084994614
169	522111.7083054269
170	528533.6789475417
171	534995.3870166889
172	541496.836698012
173	548038.0321449565
174	554618.9774674312
175	561239.6767269591
176	567900.1339762029
177	574600.3531921
178	581340.3383336032
179	588120.0933262882
180	594939.6220593469
181	601798.9283580973
182	608698.0160534838
183	615636.8889151432
184	622615.5506864825
185	629634.0050727718
186	636692.255771078
187	643790.3063903047
188	650928.160558844
189	658105.8218582431
190	665323.293818378
191	672580.579970853
192	679877.6837867282
193	687214.6087286583
194	694591.3582202939
195	702007.9356503135
196	709464.3443876783
197	716960.5877759474
198	724496.6691135076
199	732072.5916708743
