N	cond
0	1.0
1	9.476409428755652
2	34.722295927461296
3	84.76460622673721
4	159.38567339045693
5	255.73761501124972
6	372.7746227352775
7	510.84453886109503
8	670.7145822731912
9	853.1495403742686
10	1058.79259052663
11	1288.1516995687475
12	1541.6197680862042
13	1819.503797226302
14	2122.052089000266
15	2449.474254499704
16	2801.953190221787
17	3179.6510863104054
18	3582.712349652713
19	4011.2656030999747
20	4465.425736995016
21	4945.29611148176
22	5450.970651613348
23	5982.535594031368
24	6540.070799786516
25	7123.650683019718
26	7733.344864911868
27	8369.218659326354
28	9031.333464795707
29	9719.747103851581
30	10434.514127502605
31	11175.686090899835
32	11943.311802213711
33	12737.437546352132
34	13558.107285646458
35	14405.362839909201
36	15279.24404833401
37	16179.788915297715
38	17107.033742030515
39	18061.013245574213
40	19041.7606666958
41	20049.307867714982
42	21083.685421664773
43	22144.92269356211
44	23233.047914760144
45	24348.0882511477
46	25490.069865788133
47	26659.017976645762
48	27854.956909840992
49	29077.910148802323
50	30327.900379955016
51	31604.9495348714
52	32909.07882960499
53	34240.30880113053
54	35598.65934137308
55	36984.149728899516
56	38396.798658585234
57	39836.62426914421
58	41303.644169185485
59	42743.56720180249
