N	error	time	memory	ndofs
1	0.1232597973803188	0.09725413285195827	1198.83984375	5092
2	0.010203865211435658	0.23839931562542915	1198.85546875	7638
3	0.004112561884603116	0.2309166043996811	1198.86328125	10184
4	0.0017300973009930344	0.38529298081994057	1198.8671875	12730
5	0.00024169798567492837	0.6065563037991524	1198.8828125	15276
6	2.1972932897851016e-05	0.8389494717121124	1198.890625	17822
7	3.0285010814098317e-05	1.127808703109622	1198.90234375	20368
8	1.2844689378930017e-05	1.4958294443786144	1299.49609375	22914
9	1.0294255573020156e-05	1.9166683573275805	1323.125	25460
10	1.0649906968321337e-05	2.453343689441681	1386.921875	28006
11	1.0724843233103872e-05	3.038686530664563	1589.5546875	30552
12	1.0809583231157666e-05	3.885110115632415	1724.15625	33098
13	1.083166591505313e-05	4.760360665619373	1875.25	35644
14	1.0834810623012457e-05	5.765625620260835	2015.27734375	38190
15	1.0834711054235464e-05	7.01590333506465	2111.76171875	40736
16	1.083406106805049e-05	8.311816301196814	2216.2421875	43282
17	1.0833661872061291e-05	9.815780954435468	2374.234375	45828
18	1.083354857681956e-05	11.358374385163188	2509.25390625	48374
19	1.0833515222263204e-05	13.054465793073177	2740.1015625	50920
20	1.0833461405722894e-05	14.609721733257174	2970.04296875	53466
21	1.0833478676603585e-05	16.549578566104174	3339.859375	56012
22	1.0833485333457625e-05	18.636764952912927	3549.89453125	58558
23	1.0833503457166394e-05	20.871714180335402	3762.953125	61104
24	1.0833478610750562e-05	22.977492017671466	4152.91796875	63650
25	1.083354279733821e-05	26.09782988205552	4574.0703125	66196
26	1.0833476098704092e-05	27.90298750810325	4805.5234375	68742
27	1.0833492221803773e-05	31.200586296617985	5049.68359375	71288
28	1.083350745442304e-05	33.44167275354266	5508.296875	73834
29	1.0833473953845384e-05	37.29056974314153	5936.2734375	76380
