N	cond
0	1.0
1	10.078869989212865
2	37.58687083102451
3	90.355899998393
4	166.69551504524597
5	264.0214713168475
6	381.98581774022716
7	521.3341371546162
8	682.9944584022678
9	867.7775216084137
10	1076.3182636882416
11	1309.0931183500265
12	1566.4600634342305
13	1848.6994616058887
14	2156.0444193667577
15	2488.697888360901
16	2846.8399143399542
17	3230.6302897496817
18	3640.2103893880135
19	4075.7056122500594
20	4537.228275531287
21	5024.880332742485
22	5538.755486492808
23	6078.94062299171
24	6645.516726152672
25	7238.559485656429
26	7858.139763164446
27	8504.324003820646
28	9177.174622039383
29	9876.750362101211
30	10603.106627181982
31	11356.295773334648
32	12136.367369464684
33	12943.368427061505
34	13777.343604144151
35	14638.335387351974
36	15526.384255353334
37	16441.528825923746
38	17383.805988755084
39	18353.25102554437
40	19349.897718900145
41	20373.77845136934
42	21424.924295582936
43	22503.365096704587
44	23609.129547838882
45	24742.245259294003
46	25902.73882220094
47	27090.63586717808
48	28305.96111842218
49	29548.738443692124
50	30818.990900698023
51	32116.74077996036
52	33442.00964473439
53	34794.818368110966
54	36175.18716751181
55	37583.13563695123
56	39018.68277709109
57	40481.84702339581
58	41972.64627242245
59	43435.90865520194
