N	cond
0	1.0
1	9.421302584129839
2	34.44731934033837
3	84.20371644692916
4	158.63575367652678
5	254.8895289396078
6	371.84861177342407
7	509.81547865653056
8	669.5378467478239
9	851.7740818177493
10	1057.1670063137483
11	1286.2269806671188
12	1539.350113032737
13	1816.846208982027
14	2118.965435230891
15	2445.9183772753063
16	2797.888369699438
17	3175.037861575249
18	3577.511536503501
19	4005.4383429746285
20	4458.933488725479
21	4938.100577285655
22	5443.033670749364
23	5973.819041787732
24	6530.536514004264
25	7113.26042261963
26	7722.060293782703
27	8357.001345555163
28	9018.144886724345
29	9705.548657704088
30	10419.267134185133
31	11159.35180133575
32	11925.85140144842
33	12718.812156776345
34	13538.277969663148
35	14384.29060230484
36	15256.88983841308
37	16156.11362892145
38	17081.99822351215
39	18034.578289588724
40	19013.887020035727
41	20019.956231077416
42	21052.816451326453
43	22112.497002994194
44	23199.026076201248
45	24312.430797075016
46	25452.737290344903
47	26619.970736948566
48	27814.155427262627
49	29035.31481021088
50	30283.471538786776
51	31558.647512290132
52	32860.8639154531
53	34190.14125499498
54	35546.499393472266
55	36929.957581037976
56	38340.53448486767
57	39778.24821696757
58	41243.11635988657
59	42680.92747158773
