N	cond
1	1.0
2	17.19434694164028
3	99.38103091642476
4	366.3381617638867
5	1048.2796575599227
6	2559.725261837706
7	5618.688188420665
8	11399.471142100785
9	21505.09490732881
10	36927.26311042388
11	55448.11640168272
12	72059.48986087523
13	84717.52310465155
14	94944.5806166652
15	104499.64049728101
16	114337.54076797896
17	124875.21918980981
18	136284.0879036994
19	148637.6677470831
20	161977.62684136655
21	176347.58951287874
22	191822.40715270618
23	208560.41242599496
24	226947.1563986733
25	248089.18317146815
26	275444.337975293
27	315064.1571989582
28	365572.1987892724
29	420274.5253658735
30	474461.0563235822
31	525201.1248826773
32	571021.7466328803
33	611712.9819480497
34	647935.0056145301
35	680771.2871034257
36	711394.4223189686
37	740891.2081233794
38	770213.3328760228
39	800203.6815747706
40	831662.2153004968
41	865431.263133676
42	902482.288343185
43	943960.5055639031
44	991080.7368277787
45	1044730.8868092126
46	1104846.5868246795
47	1170076.1711837447
48	1238190.5272572055
49	1306898.2060779976
50	1374439.76312865
51	1439783.167518945
52	1502566.1781541745
53	1562943.097502203
54	1621421.6687816447
55	1678725.4038668368
56	1735690.2003160566
57	1793190.6991927102
58	1852085.4322484862
59	1913167.907787157
60	1977112.817962305
61	2044413.1959111486
62	2115315.7558545144
63	2189774.2930519213
64	2267446.3504192512
65	2347748.276459584
66	2429960.7464789236
67	2513355.504263245
68	2597308.60805844
69	2681376.441706358
70	2765327.7878754847
71	2849138.2788218963
72	2932959.1248277533
73	3017071.8407687163
74	3101837.8498355187
75	3187648.7000884125
76	3274880.363241909
77	3363853.998876503
78	3454805.3795287916
79	3547865.3056608005
80	3643053.077270029
81	3740283.988316393
82	3839389.827314438
83	3940149.055179997
84	4042321.538155506
85	4145682.0981181944
86	4250047.910808363
87	4355296.524290761
88	4461373.363374488
89	4568289.408260264
90	4676110.995079844
91	4784944.3045525495
92	4894917.221457648
93	5006161.043706663
94	5118794.131834593
95	5232909.104106763
96	5348564.655800182
97	5465782.450162859
98	5584548.955510692
99	5704821.472276976
100	5826537.149240166
101	5949623.483067826
102	6074008.756018925
103	6199631.040088378
104	6326444.76937611
105	6454424.352427865
106	6583564.757433574
107	6713879.414060269
108	6845396.084798192
109	6978151.482875502
110	7112185.509646377
111	7247535.850384294
112	7384233.5676775165
113	7522300.106134692
114	7661745.889484883
115	7802570.497397401
116	7944764.18116784
117	8088310.3705743905
118	8233188.70175165
119	8379378.131502171
120	8526859.720687903
121	8675618.770563314
122	8825646.131080352
123	8976938.624029428
124	9129498.65374942
125	9283333.159239752
126	9438452.13102506
127	9594866.95978289
128	9752588.814537508
129	9911627.292535424
130	10071989.424607296
131	10233679.19323816
132	10396697.432249429
133	10561042.224713748
134	10726709.507719193
135	10893693.942828432
136	11061989.798349084
137	11231591.719419125
138	11402495.415277114
139	11574698.082088076
140	11748198.532691874
141	11922997.201252721
142	12099095.833359176
143	12276497.109337335
144	12455204.227864219
145	12635220.391966842
146	12816548.456116151
147	12999190.644853301
148	13183148.328964323
149	13368422.0547168
150	13555011.554925151
151	13742915.94654211
152	13932133.961862285
153	14122664.17204874
154	14314505.202180356
155	14507655.934630403
156	14702115.62270837
157	14897883.986195872
158	15094961.134405768
159	15293347.60243581
160	15493044.155680148
161	15694051.691605905
162	15896371.204192527
163	16100003.583587438
164	16304949.528554274
165	16511209.552168379
166	16718783.95020748
167	16927672.754161708
168	17137875.8636023
169	17349393.073319778
170	17562224.08673472
171	17776368.61473188
172	17991826.47764188
173	18208597.50897463
174	18426681.73738893
175	18646079.259865288
176	18866790.284611862
177	19088815.076108128
178	19312153.966815483
179	19536807.296193298
180	19762775.3629137
181	19990058.453370333
182	20218656.82772477
183	20448570.60173382
184	20679799.93111252
185	20912344.811532535
186	21146205.33174824
187	21381381.442272995
188	21617873.18434895
189	21855680.56941499
190	22094803.67481811
191	22335242.527346585
192	22576997.246852428
193	22820067.953131754
194	23064454.776033927
195	23310157.896532774
196	23557177.497877702
197	23805513.67545748
198	24055166.59983996
199	24306136.452313203
200	24558423.247223318
201	24812027.186971277
202	25066948.299481373
203	25323186.664824422
204	25580742.43080469
205	25839615.55815233
206	26099806.14975525
207	26361314.31149727
208	26624140.20875504
209	26888283.728584766
210	27153745.127251107
211	27420524.495877028
212	27688621.910997797
213	27958037.433018737
214	28228771.24024391
215	28500823.383265752
216	28774194.01265045
217	29048883.181487534
218	29324891.027276244
219	29602217.49952689
220	29880862.881923683
221	30160827.110660225
222	30442110.27717591
223	30724712.496238433
224	31008633.866428666
225	31293874.38526629
226	31580434.252079085
227	31868313.469719246
228	32157512.16282932
229	32448030.388132032
230	32739868.180339117
231	33033025.71792758
232	33327503.047279764
233	33623300.34098652
234	33920417.42914776
235	34218854.65318367
236	34518611.85311236
237	34819689.500366524
238	35122087.13806552
239	35425805.20997772
240	35730843.676870674
241	36037202.61824467
242	36344882.106179476
243	36653882.258333325
244	36964203.03652046
245	37275844.62049939
246	37588807.13560891
247	37903090.46221184
248	38218694.843783095
249	38535620.30330314
