N	error	time	memory	ndofs
1	0.14617525356329147	0.09493354707956314	4233.62890625	5092
2	0.019076347955851822	0.23245695419609547	4233.640625	7638
3	0.002127828587475266	0.23186058923602104	4233.65234375	10184
4	0.002138838483085231	0.38881177455186844	4233.66796875	12730
5	0.0004948244393419972	0.5747400093823671	4233.671875	15276
6	5.824866411123687e-05	0.8371919449418783	4233.68359375	17822
7	3.5474044097221256e-05	1.1439644508063793	4233.69140625	20368
8	1.8258895412130527e-05	1.5216622781008482	4233.703125	22914
9	4.48048414857577e-06	1.9605180975049734	4233.71484375	25460
10	1.7387498032981487e-06	2.4920688197016716	4271.36328125	28006
11	1.2323755197919841e-06	3.1414339877665043	4278.42578125	30552
12	7.850089600144412e-07	3.89995508082211	4327.37890625	33098
13	6.435445893651485e-07	4.81780375353992	4342.5546875	35644
14	6.594216606701617e-07	5.951761718839407	4303.7734375	38190
15	6.938011483222999e-07	7.182455727830529	4376.453125	40736
16	7.142727211130543e-07	8.378771973773837	4394.51171875	43282
17	7.224095352427112e-07	9.876192662864923	4394.00390625	45828
18	7.242270418676875e-07	11.519892020151019	4437.98828125	48374
19	7.23797765924164e-07	13.140918396413326	4418.515625	50920
20	7.230046897466248e-07	14.800071643665433	4451.78515625	53466
21	7.224379988132021e-07	16.84511812776327	4417.3984375	56012
22	7.221468748542746e-07	18.620150912553072	5185.69921875	58558
23	7.220353945100761e-07	21.159292863681912	5236.00390625	61104
24	7.220114416552659e-07	23.065884724259377	5312.921875	63650
25	7.220192821672223e-07	26.03558188304305	5680.328125	66196
26	7.220330207171619e-07	27.766842832788825	5880.26171875	68742
27	7.220437129643564e-07	31.458724573254585	6363.6015625	71288
28	7.220500011460576e-07	33.84214509092271	6518.49609375	73834
29	7.220529732201615e-07	37.67724431492388	6181.54296875	76380
