N	cond
1	1.0
2	21.20007816480123
3	133.35513525261712
4	495.7356204578755
5	1372.5514174452537
6	3143.3375572477867
7	6296.364231922604
8	11402.595690692038
9	19069.739930187454
10	29881.19087820504
11	44331.37289625367
12	62773.54771243122
13	85394.4344460885
14	112221.26889796733
15	143155.50377051329
16	178019.61368801183
17	216602.80442112283
18	258696.27911647697
19	304115.0209531099
20	352707.65422184474
21	404357.9383388086
22	458981.48723029887
23	516520.4341527586
24	576937.7400906732
25	640212.0263125021
26	706333.2769618687
27	775299.4576759362
28	847113.9548862037
29	921783.6910773268
30	999317.7693241725
31	1079726.518552759
32	1163020.8351008685
33	1249211.7395714403
34	1338310.0880094643
35	1430326.3919566842
36	1525270.7147878131
37	1623152.6199841432
38	1723981.1548342262
39	1827764.8568184876
40	1934511.7742527039
41	2044229.495139549
42	2156925.1801116634
43	2272605.596333557
44	2391277.1505481345
45	2512945.920356019
46	2637617.6822213223
47	2765297.9374313047
48	2895991.9336765804
49	3029704.6848819847
50	3166440.9871370983
51	3306205.4326221063
52	3449002.4215425914
53	3594836.172332356
54	3743710.72884129
55	3895629.968605176
56	4050597.6084445543
57	4208617.210098651
58	4369692.185581369
59	4533825.801734924
60	4701021.183822386
61	4871281.323148805
62	5044609.077990087
63	5221007.18106123
64	5400478.242695115
65	5583024.757062005
66	5768649.106036308
67	5957353.564732218
68	6149140.3077921495
69	6344011.412288445
70	6541968.865528848
71	6743014.567703415
72	6947150.337572271
73	7154377.920780665
74	7364698.986986597
75	7578115.1440884415
76	7794627.934152912
77	8014238.842356942
78	8236949.299374672
79	8462760.68585073
80	8691674.334231341
81	8923691.534678772
82	9158813.534693876
83	9397041.545872705
84	9638376.742002176
85	9882820.265749797
86	10130373.226170497
87	10381036.707320888
88	10634811.761758322
89	10891699.41989689
90	11151700.686240805
91	11414816.541575609
92	11681047.947784653
93	11950395.843261342
94	12222861.14789898
95	12498444.766200315
96	12777147.57700535
97	13058970.450484915
98	13343914.235612072
99	13631979.767927706
100	13923167.864338165
101	14217479.332692761
102	14514914.959273418
103	14815475.522469416
104	15119161.785903085
105	15425974.49526444
106	15735914.392766813
107	16048982.201294947
108	16365178.63235387
109	16684504.386206012
110	17006960.15514527
111	17332546.61662137
112	17661264.438108794
113	17993114.275046173
114	18328096.77790865
115	18666212.57878523
116	19007462.30587807
117	19351846.57592492
118	19699365.997321025
119	20050021.168595526
120	20403812.678928558
121	20760741.114293355
122	21120807.036032524
123	21484011.01857211
124	21850353.60830387
125	22219835.3612831
126	22592456.81523186
127	22968218.501070328
128	23347120.946775537
129	23729164.669195652
130	24114350.18398564
131	24502677.98166128
132	24894148.570999745
133	25288762.439715922
134	25686520.071965285
135	26087421.95717733
136	26491468.558570024
137	26898660.337328654
138	27308997.750578973
139	27722481.263377838
140	28139111.32296544
141	28558888.378199223
142	28981812.849826112
143	29407885.1909358
144	29837105.81385843
145	30269475.15114757
146	30704993.613215555
147	31143661.62208231
148	31585479.579412475
149	32030447.881732807
150	32478566.948169775
151	32929837.151186794
152	33384258.892784525
153	33841832.564719096
154	34302558.522707015
155	34766437.17259509
156	35233468.86728649
157	35703653.99238669
158	36176992.914171055
159	36653485.97165709
160	37133133.52194033
161	37615935.96837161
162	38101893.579672985
163	38591006.80151924
164	39083275.887850516
165	39578701.195909776
166	40077283.15717033
167	40579021.93697136
168	41083918.01979276
169	41591971.5985642
170	42103183.1495659
171	42617552.81921346
172	43135081.00762212
173	43655768.117660336
174	44179614.30960319
175	44706619.96789558
176	45236785.35279567
177	45770110.87078881
178	46306596.678635605
179	46846243.17606678
180	47389050.566227384
181	47935019.26963718
182	48484149.444807425
183	49036441.47104502
184	49591895.560485534
185	50150511.997333825
186	50712291.11099816
187	51277233.16331809
188	51845338.41030217
189	52416607.04616854
190	52991039.502578504
191	53568635.90517013
192	54149396.64595822
193	54733321.85709987
194	55320411.84340262
195	55910666.90859427
196	56504087.201190665
197	57100673.08358927
198	57700424.75827648
199	58303342.46016457
