N	error	time	memory	ndofs
1	0.12239149470921164	0.06407052837312222	125.87890625	2866
2	0.010494788877169196	0.09541021659970284	157.01953125	4299
3	0.0032504718613651446	0.18237839825451374	180.71484375	5732
4	0.0019230357585741855	0.3156519066542387	211.328125	7165
5	0.0008377865182537787	0.24371534772217274	225.734375	8598
6	0.0006202682319536945	0.3500348683446646	258.70703125	10031
7	0.0006289896264588396	0.4826878160238266	300.4375	11464
8	0.0006115911630663788	0.6385752558708191	356.77734375	12897
9	0.0006100433058215505	0.8255030512809753	402.25	14330
10	0.0006103983056061582	1.0542947929352522	459.02734375	15763
11	0.0006104737864588129	1.2785766124725342	550.0546875	17196
12	0.0006105586884271009	1.5699393935501575	606.9453125	18629
13	0.0006105808341830565	1.8609868828207254	656.0703125	20062
14	0.0006105839425513904	2.220422226935625	761.07421875	21495
15	0.000610583851883371	2.681923611089587	831.89453125	22928
16	0.0006105832214148118	3.0965267084538937	1006.3828125	24361
17	0.0006105828524428587	3.620349684730172	1037.671875	25794
18	0.0006105827028983947	4.251892859116197	1157.20703125	27227
19	0.0006105826580806252	4.901075581088662	1252.11328125	28660
20	0.0006105826529540394	5.664972277358174	1431.2109375	30093
21	0.0006105826575834945	6.578892657533288	1534.56640625	31526
22	0.0006105826620470495	7.409857787191868	1678.828125	32959
23	0.0006105826644993234	8.606288217008114	1864.96484375	34392
24	0.0006105826654808212	9.50383186340332	1942.8828125	35825
25	0.0006105826657272639	10.60941094532609	2109.921875	37258
26	0.0006105826657156767	11.869389558210969	2217.91796875	38691
27	0.0006105826656635855	13.117931799963117	2487.3515625	40124
28	0.0006105826656074766	14.1392115727067	2549.09765625	41557
29	0.0006105826655816868	15.696967210620642	2799.56640625	42990
